,date,pos,neg
0,2020-12-15,14,14
1,2020-12-14,13,18
2,2020-12-13,3,0
3,2020-12-12,5,5
4,2020-12-11,14,24
5,2020-12-10,31,28
6,2020-12-09,17,24
7,2020-12-08,15,18
8,2020-12-07,4,10
9,2020-12-06,8,4
10,2020-12-05,13,11
11,2020-12-04,15,17
12,2020-12-03,65,29
13,2020-12-02,30,24
14,2020-12-01,25,45
15,2020-11-30,5,4
16,2020-11-29,6,7
17,2020-11-28,9,12
18,2020-11-27,19,5
19,2020-11-26,24,10
20,2020-11-25,41,43
21,2020-11-24,32,20
22,2020-11-23,10,6
23,2020-11-22,4,1
24,2020-11-21,12,7
25,2020-11-20,27,15
26,2020-11-19,88,42
27,2020-11-18,42,23
28,2020-11-17,82,75
29,2020-11-16,29,37
30,2020-11-15,1,1
31,2020-11-14,8,8
32,2020-11-13,45,23
33,2020-11-12,43,52
34,2020-11-11,65,63
35,2020-11-10,59,76
36,2020-11-09,1,2
37,2020-11-08,3,0
38,2020-11-07,14,6
39,2020-11-06,35,20
40,2020-11-05,68,56
41,2020-11-04,70,48
42,2020-11-03,30,12
43,2020-11-02,7,8
44,2020-11-01,3,15
45,2020-10-31,25,33
46,2020-10-30,44,32
47,2020-10-29,36,17
48,2020-10-28,48,2
49,2020-10-27,24,10
50,2020-10-26,31,6
51,2020-10-25,15,7
52,2020-10-24,26,12
53,2020-10-23,43,40
54,2020-10-22,80,35
55,2020-10-21,122,57
56,2020-10-20,45,32
57,2020-10-19,9,12
58,2020-10-18,19,10
59,2020-10-17,31,24
60,2020-10-16,79,30
61,2020-10-15,31,28
62,2020-10-14,50,41
63,2020-10-13,87,52
64,2020-10-12,88,58
65,2020-10-11,58,29
66,2020-10-10,37,24
67,2020-10-09,109,126
68,2020-10-08,111,196
69,2020-10-07,110,80
70,2020-10-06,31,26
71,2020-10-05,9,46
72,2020-10-04,2,2
73,2020-10-03,5,5
74,2020-10-02,2,2
75,2020-10-01,5,6
76,2020-09-30,12,18
77,2020-09-29,21,12
78,2020-09-28,8,12
79,2020-09-27,2,3
80,2020-09-26,10,8
81,2020-09-25,33,51
82,2020-09-24,16,18
83,2020-09-23,17,17
84,2020-09-22,30,28
85,2020-09-21,9,14
86,2020-09-20,23,2
87,2020-09-19,2,9
88,2020-09-18,22,7
89,2020-09-17,36,25
90,2020-09-16,52,56
91,2020-09-15,56,23
92,2020-09-14,45,23
93,2020-09-13,5,6
94,2020-09-12,12,25
95,2020-09-11,50,29
96,2020-09-10,68,61
97,2020-09-09,48,56
98,2020-09-08,37,31
99,2020-09-07,40,28
100,2020-09-06,0,8
101,2020-09-05,56,38
102,2020-09-04,55,45
103,2020-09-03,53,55
104,2020-09-02,36,64
105,2020-09-01,48,42
106,2020-08-31,28,18
107,2020-08-30,9,0
108,2020-08-29,31,5
109,2020-08-28,58,32
110,2020-08-27,63,70
111,2020-08-26,68,98
112,2020-08-25,44,41
113,2020-08-24,26,16
114,2020-08-23,5,8
115,2020-08-22,32,30
116,2020-08-21,72,119
117,2020-08-20,54,76
118,2020-08-19,41,39
119,2020-08-18,95,89
120,2020-08-17,37,21
121,2020-08-16,14,5
122,2020-08-15,18,37
123,2020-08-14,86,88
124,2020-08-13,215,175
125,2020-08-12,121,106
126,2020-08-11,124,64
127,2020-08-10,37,45
128,2020-08-09,11,20
129,2020-08-08,42,39
130,2020-08-07,66,16
131,2020-08-06,81,68
132,2020-08-05,19,62
133,2020-08-04,49,48
134,2020-08-03,76,52
135,2020-08-02,0,11
136,2020-08-01,7,22
137,2020-07-31,85,66
138,2020-07-30,58,81
139,2020-07-29,156,108
140,2020-07-28,229,205
141,2020-07-27,197,209
142,2020-07-26,95,90
143,2020-07-25,129,127
144,2020-07-24,222,314
145,2020-07-23,241,319
146,2020-07-22,113,104
147,2020-07-21,136,163
148,2020-07-20,79,96
149,2020-07-19,0,29
150,2020-07-18,61,56
151,2020-07-17,0,1
