,date,pos,neg
0,2020-12-15,51,36
1,2020-12-14,116,144
2,2020-12-13,58,47
3,2020-12-12,101,121
4,2020-12-11,283,162
5,2020-12-10,323,186
6,2020-12-09,108,122
7,2020-12-08,66,52
8,2020-12-07,98,86
9,2020-12-06,40,6
10,2020-12-05,195,129
11,2020-12-04,190,177
12,2020-12-03,239,77
13,2020-12-02,182,114
14,2020-12-01,135,84
15,2020-11-30,138,144
16,2020-11-29,163,98
17,2020-11-28,322,225
18,2020-11-27,420,305
19,2020-11-26,196,121
20,2020-11-25,249,125
21,2020-11-24,189,120
22,2020-11-23,136,77
23,2020-11-22,30,39
24,2020-11-21,38,3
25,2020-11-20,87,135
26,2020-11-19,184,205
27,2020-11-18,140,195
28,2020-11-17,110,62
29,2020-11-16,70,75
30,2020-11-15,113,53
31,2020-11-14,34,51
32,2020-11-13,107,118
33,2020-11-12,112,66
34,2020-11-11,168,130
35,2020-11-10,346,120
36,2020-11-09,117,94
37,2020-11-08,20,15
38,2020-11-07,102,41
39,2020-11-06,86,53
40,2020-11-05,93,80
41,2020-11-04,137,90
42,2020-11-03,156,159
43,2020-11-02,146,163
44,2020-11-01,32,68
45,2020-10-31,64,81
46,2020-10-30,83,98
47,2020-10-29,96,105
48,2020-10-28,53,65
49,2020-10-27,224,286
50,2020-10-26,113,150
51,2020-10-25,37,35
52,2020-10-24,96,90
53,2020-10-23,77,92
54,2020-10-22,70,133
55,2020-10-21,56,50
56,2020-10-20,126,75
57,2020-10-19,42,59
58,2020-10-18,35,11
59,2020-10-17,64,56
60,2020-10-16,30,60
61,2020-10-15,84,28
62,2020-10-14,57,74
63,2020-10-13,128,101
64,2020-10-12,36,10
65,2020-10-11,8,38
66,2020-10-10,66,39
67,2020-10-09,79,30
68,2020-10-08,81,38
69,2020-10-07,113,55
70,2020-10-06,81,64
71,2020-10-05,16,10
72,2020-10-04,47,24
73,2020-10-03,20,44
74,2020-10-02,44,26
75,2020-10-01,16,31
76,2020-09-30,78,96
77,2020-09-29,99,95
78,2020-09-28,192,227
79,2020-09-27,74,102
80,2020-09-26,106,74
81,2020-09-25,76,137
1,2020-09-24,126,144
2,2020-09-23,73,69
3,2020-09-22,39,62
4,2020-09-21,137,87
5,2020-09-20,18,21
6,2020-09-19,131,69
7,2020-09-18,62,102
8,2020-09-17,158,154
9,2020-09-16,67,38
10,2020-09-15,156,59
11,2020-09-14,129,6
12,2020-09-13,43,40
13,2020-09-12,60,24
14,2020-09-11,207,113
15,2020-09-10,158,99
16,2020-09-09,158,92
17,2020-09-08,167,47
18,2020-09-07,118,67
19,2020-09-06,15,41
20,2020-09-05,67,96
21,2020-09-04,137,101
22,2020-09-03,110,132
23,2020-09-02,102,135
24,2020-09-01,271,254
25,2020-08-31,174,222
26,2020-08-30,35,8
27,2020-08-29,83,76
28,2020-08-28,326,486
29,2020-08-27,316,299
30,2020-08-26,284,134
31,2020-08-25,294,333
32,2020-08-24,147,196
33,2020-08-23,62,117
34,2020-08-22,74,54
35,2020-08-21,201,221
36,2020-08-20,113,152
37,2020-08-19,202,194
38,2020-08-18,406,218
39,2020-08-17,288,170
40,2020-08-16,134,188
41,2020-08-15,86,171
42,2020-08-14,287,301
43,2020-08-13,423,233
44,2020-08-12,297,250
45,2020-08-11,487,289
46,2020-08-10,486,360
47,2020-08-09,215,143
48,2020-08-08,381,234
49,2020-08-07,256,217
