,date,pos,neg
0,2020-12-15,98,34
1,2020-12-14,125,86
2,2020-12-13,65,15
3,2020-12-12,114,66
4,2020-12-11,267,235
5,2020-12-10,245,168
6,2020-12-09,204,81
7,2020-12-08,135,73
8,2020-12-07,89,92
9,2020-12-06,111,107
10,2020-12-05,26,60
11,2020-12-04,206,79
12,2020-12-03,273,223
13,2020-12-02,612,441
14,2020-12-01,294,246
15,2020-11-30,160,109
16,2020-11-29,85,88
17,2020-11-28,153,77
18,2020-11-27,81,70
19,2020-11-26,314,221
20,2020-11-25,305,129
21,2020-11-24,225,148
22,2020-11-23,188,107
23,2020-11-22,155,117
24,2020-11-21,85,86
25,2020-11-20,381,328
26,2020-11-19,751,661
27,2020-11-18,711,797
28,2020-11-17,1832,1549
1,2020-11-16,716,643
2,2020-11-15,109,114
3,2020-11-14,227,226
4,2020-11-13,743,660
5,2020-11-12,226,235
6,2020-11-11,265,197
7,2020-11-10,297,194
8,2020-11-09,47,56
9,2020-11-08,30,18
10,2020-11-07,0,0
11,2020-11-06,20,16
12,2020-11-05,8,3
13,2020-11-04,31,25
14,2020-11-03,10,2
15,2020-11-02,9,18
16,2020-11-01,10,11
17,2020-10-31,3,11
18,2020-10-30,29,33
19,2020-10-29,15,23
20,2020-10-28,20,39
21,2020-10-27,19,10
22,2020-10-26,15,25
23,2020-10-25,0,0
24,2020-10-24,25,27
25,2020-10-23,25,57
26,2020-10-22,55,34
27,2020-10-21,57,47
28,2020-10-20,37,16
29,2020-10-19,23,22
30,2020-10-18,12,0
31,2020-10-17,20,16
32,2020-10-16,37,34
33,2020-10-15,60,19
34,2020-10-14,21,24
35,2020-10-13,45,49
36,2020-10-12,43,19
37,2020-10-11,5,6
38,2020-10-10,8,6
39,2020-10-09,5,20
40,2020-10-08,50,36
41,2020-10-07,79,76
42,2020-10-06,33,36
43,2020-10-05,15,17
44,2020-10-04,2,0
45,2020-10-03,8,13
46,2020-10-02,3,0
47,2020-10-01,3,19
48,2020-09-30,5,10
49,2020-09-29,50,25
50,2020-09-28,6,5
51,2020-09-27,6,13
52,2020-09-26,0,0
53,2020-09-25,19,25
54,2020-09-24,14,14
55,2020-09-23,12,9
56,2020-09-22,24,29
57,2020-09-21,21,8
58,2020-09-20,4,10
59,2020-09-19,16,12
60,2020-09-18,29,41
61,2020-09-17,65,29
62,2020-09-16,65,19
63,2020-09-15,61,23
64,2020-09-14,30,23
65,2020-09-13,8,20
66,2020-09-12,25,41
67,2020-09-11,39,42
68,2020-09-10,22,37
69,2020-09-09,49,33
70,2020-09-08,16,19
71,2020-09-07,38,42
72,2020-09-06,0,5
73,2020-09-05,13,6
74,2020-09-04,37,25
75,2020-09-03,29,55
76,2020-09-02,9,29
77,2020-09-01,33,37
78,2020-08-31,3,6
79,2020-08-30,13,25
80,2020-08-29,14,5
81,2020-08-28,20,30
82,2020-08-27,8,5
