,date,pos,neg
0,2020-12-15,45,35
1,2020-12-14,26,55
2,2020-12-13,0,0
3,2020-12-12,14,6
4,2020-12-11,11,31
5,2020-12-10,20,12
6,2020-12-09,30,41
7,2020-12-08,22,36
8,2020-12-07,14,26
9,2020-12-06,6,4
10,2020-12-05,56,23
11,2020-12-04,27,31
12,2020-12-03,23,6
13,2020-12-02,68,25
14,2020-12-01,140,68
15,2020-11-30,36,16
16,2020-11-29,3,3
17,2020-11-28,15,4
18,2020-11-27,10,14
19,2020-11-26,41,35
20,2020-11-25,9,17
21,2020-11-24,25,14
22,2020-11-23,11,18
23,2020-11-22,3,0
24,2020-11-21,2,2
25,2020-11-20,11,4
26,2020-11-19,27,22
27,2020-11-18,38,60
28,2020-11-17,74,82
29,2020-11-16,48,13
30,2020-11-15,15,8
31,2020-11-14,32,0
32,2020-11-13,35,21
33,2020-11-12,17,19
34,2020-11-11,25,17
35,2020-11-10,35,0
36,2020-11-09,16,7
37,2020-11-08,0,0
38,2020-11-07,17,2
39,2020-11-06,28,9
40,2020-11-05,24,15
41,2020-11-04,1,5
42,2020-11-03,34,6
43,2020-11-02,9,7
44,2020-11-01,0,0
45,2020-10-31,6,0
46,2020-10-30,12,5
47,2020-10-29,3,3
48,2020-10-28,10,8
49,2020-10-27,9,12
50,2020-10-26,4,8
51,2020-10-25,0,2
52,2020-10-24,5,11
53,2020-10-23,5,14
54,2020-10-22,16,10
55,2020-10-21,5,8
56,2020-10-20,10,23
57,2020-10-19,2,6
58,2020-10-18,1,1
59,2020-10-17,5,4
60,2020-10-16,9,14
61,2020-10-15,6,15
62,2020-10-14,9,17
63,2020-10-13,20,11
64,2020-10-12,4,4
65,2020-10-11,0,28
66,2020-10-10,0,11
67,2020-10-09,5,21
68,2020-10-08,32,22
69,2020-10-07,7,10
70,2020-10-06,13,11
71,2020-10-05,19,22
72,2020-10-04,0,2
73,2020-10-03,9,9
74,2020-10-02,5,3
75,2020-10-01,0,0
76,2020-09-30,0,17
77,2020-09-29,15,16
78,2020-09-28,11,9
79,2020-09-27,2,25
80,2020-09-26,31,33
81,2020-09-25,24,30
82,2020-09-24,7,17
83,2020-09-23,13,17
84,2020-09-22,10,35
85,2020-09-21,5,11
86,2020-09-20,9,5
87,2020-09-19,5,1
88,2020-09-18,17,16
89,2020-09-17,33,25
90,2020-09-16,48,30
91,2020-09-15,11,8
92,2020-09-14,15,13
93,2020-09-13,5,5
94,2020-09-12,7,9
95,2020-09-11,52,62
96,2020-09-10,63,58
97,2020-09-09,51,76
98,2020-09-08,19,27
99,2020-09-07,6,18
100,2020-09-06,7,7
101,2020-09-05,46,27
102,2020-09-04,33,34
103,2020-09-03,54,19
104,2020-09-02,70,32
105,2020-09-01,64,41
106,2020-08-31,28,39
107,2020-08-30,23,6
108,2020-08-29,9,11
109,2020-08-28,56,78
110,2020-08-27,47,51
111,2020-08-26,49,52
112,2020-08-25,79,45
113,2020-08-24,21,53
114,2020-08-23,32,20
115,2020-08-22,11,17
116,2020-08-21,63,27
117,2020-08-20,34,29
118,2020-08-19,21,57
119,2020-08-18,79,57
120,2020-08-17,16,8
121,2020-08-16,25,7
122,2020-08-15,60,29
123,2020-08-14,61,37
124,2020-08-13,163,91
125,2020-08-12,216,179
126,2020-08-11,122,104
127,2020-08-10,83,57
128,2020-08-09,34,28
129,2020-08-08,45,39
130,2020-08-07,166,148
131,2020-08-06,79,94
