,date,pos,neg
0,2020-12-15,173,132
1,2020-12-14,667,476
2,2020-12-13,261,158
3,2020-12-12,235,244
4,2020-12-11,757,550
5,2020-12-10,970,758
6,2020-12-09,663,531
7,2020-12-08,537,529
8,2020-12-07,443,377
9,2020-12-06,198,129
10,2020-12-05,324,227
1,2020-12-04,557,423
2,2020-12-03,351,299
3,2020-12-02,443,295
4,2020-12-01,492,504
5,2020-11-30,348,359
6,2020-11-29,130,72
7,2020-11-28,144,116
8,2020-11-27,313,284
9,2020-11-26,301,301
10,2020-11-25,354,411
2,2020-11-24,515,462
3,2020-11-23,484,382
4,2020-11-22,88,61
5,2020-11-21,113,102
6,2020-11-20,290,211
7,2020-11-19,257,274
8,2020-11-18,399,407
9,2020-11-17,565,451
10,2020-11-16,612,582
11,2020-11-15,119,91
12,2020-11-14,418,327
13,2020-11-13,420,435
1,2020-11-12,279,206
2,2020-11-11,261,228
3,2020-11-10,360,285
4,2020-11-09,121,131
5,2020-11-08,74,65
6,2020-11-07,116,90
7,2020-11-06,276,254
8,2020-11-05,345,242
9,2020-11-04,307,223
10,2020-11-03,280,236
11,2020-11-02,358,384
12,2020-11-01,104,180
13,2020-10-31,384,575
14,2020-10-30,454,664
2,2020-10-29,599,818
3,2020-10-28,212,272
4,2020-10-27,208,404
5,2020-10-26,761,884
6,2020-10-25,639,774
7,2020-10-24,62,123
8,2020-10-23,127,245
9,2020-10-22,213,300
10,2020-10-21,220,256
11,2020-10-20,216,247
12,2020-10-19,177,160
1,2020-10-18,50,82
2,2020-10-17,148,202
3,2020-10-16,296,327
4,2020-10-15,208,229
5,2020-10-14,250,218
6,2020-10-13,215,229
7,2020-10-12,140,156
8,2020-10-11,87,123
9,2020-10-10,64,117
10,2020-10-09,132,209
11,2020-10-08,610,626
12,2020-10-07,279,290
13,2020-10-06,203,178
14,2020-10-05,195,190
15,2020-10-04,68,103
16,2020-10-03,138,235
17,2020-10-02,55,58
