,date,pos,neg
0,2020-12-15,60,41
1,2020-12-14,92,79
2,2020-12-13,25,19
3,2020-12-12,94,22
4,2020-12-11,85,112
5,2020-12-10,133,105
6,2020-12-09,151,181
7,2020-12-08,105,252
8,2020-12-07,86,91
9,2020-12-06,75,71
10,2020-12-05,138,86
11,2020-12-04,176,198
12,2020-12-03,35,77
13,2020-12-02,126,85
14,2020-12-01,58,29
15,2020-11-30,42,64
16,2020-11-29,28,11
17,2020-11-28,26,27
18,2020-11-27,123,76
19,2020-11-26,92,101
20,2020-11-25,187,124
21,2020-11-24,120,128
22,2020-11-23,91,84
23,2020-11-22,20,38
24,2020-11-21,71,111
25,2020-11-20,155,80
26,2020-11-19,156,125
27,2020-11-18,93,87
28,2020-11-17,123,194
29,2020-11-16,114,106
30,2020-11-15,30,28
31,2020-11-14,89,49
32,2020-11-13,116,79
33,2020-11-12,151,108
34,2020-11-11,256,332
35,2020-11-10,339,377
36,2020-11-09,110,134
37,2020-11-08,55,31
38,2020-11-07,113,80
39,2020-11-06,237,243
40,2020-11-05,458,368
41,2020-11-04,193,154
42,2020-11-03,169,91
43,2020-11-02,121,96
44,2020-11-01,77,49
45,2020-10-31,134,188
46,2020-10-30,212,196
47,2020-10-29,138,208
48,2020-10-28,287,168
49,2020-10-27,482,596
50,2020-10-26,334,452
51,2020-10-25,70,119
52,2020-10-24,171,242
53,2020-10-23,315,540
54,2020-10-22,293,302
55,2020-10-21,26,24
