,date,pos,neg
0,2020-11-06,378,268
1,2020-11-05,319,102
2,2020-11-04,289,140
3,2020-11-03,251,131
4,2020-11-02,265,151
5,2020-11-01,67,113
6,2020-10-31,197,223
7,2020-10-30,201,196
8,2020-10-29,263,316
9,2020-10-28,263,229
10,2020-10-27,422,301
11,2020-10-26,299,285
12,2020-10-25,110,143
13,2020-10-24,215,178
14,2020-10-23,455,581
15,2020-10-22,485,799
16,2020-10-21,703,741
17,2020-10-20,1559,2099
18,2020-10-19,509,464
19,2020-10-18,251,300
20,2020-10-17,415,404
21,2020-10-16,567,741
22,2020-10-15,75,93
